NormCArray,ComponentMasses,ComponentMassFractions
13093.38395595179,1964111261.2597466,0.03054605382985609
59311.5520460528,8897257469.383327,0.13837103373846543
47905.91330269378,7186479064.992131,0.11176483771371899
32925.24154489391,4939383856.650004,0.07681778937247286
56477.7209828246,8472952960.36844,0.13177220778177978
58061.7914817402,8710770050.320019,0.13547076283545909
107792.2641495398,16171648154.411314,0.25150308171712776
1299.0948045507819,197397182.61502004,0.003069940631648834
5085.418462470586,1400000000.0,0.02177293934681182
254345.96311560605,6360000000.0,0.09891135303265941
