ZTFJ1539+5027 -2.316799894 2340
ZTFJ224342.97+544206.1 -2.4215509 3778.44238
SDSSJ0651+2844 -2.582748679 1264.69226
ZTFJ0538+1953 -2.636790348 684
ZTFJ0526+5934 -2.789007936 830.768127
PTFJ053332.06+020911.5 -2.790275634 1740
ZTFJ2029+1534 -2.796594091 2020
ZTFJ0722-1839 -2.852037351 928
ZTFJ1749+0924 -2.899282474 1550
ZTFJ1946+3203 -3.002990955 2380
ZTFJ0643+0318 -3.04430565 4036.6167
ZTFJ0640+1738 -3.048444914 5900
ZTFJ2130+4420 -3.071956811 1209
SDSSJ0822+3048 -3.082176213 1290.68652
ZTFJ1901+5309 -3.085666634 831
ZTFJ204951.27+335153.1 -3.11217007 2358.18457
ZTFJ0720+6439 -3.132574855 921.473694
WDJ022558.21−692025.38 -3.150973411 402.576508
ZTFJ2320+3750 -3.219427303 2510
ZTFJ0859-1110 -3.254618213 199.411041
ZTFJ0836+2258 -3.300884887 371.503845
ZTFJ0221+1710 -3.422840498 278.396576
ZTFJ1356+5705 -3.440574687 361.120056
SDSSJ0751−0141 -3.53864213 1776.01172
ZTFJ2249+0117 -3.616202869 647.326294
SDSSJ1152+0248 -3.634875309 645.442078
J210220.39-414500.77 -3.636389402 nan
CSS41177 -3.699999725 441.315308
J210220.456−414501.736 -3.706005536 163.375778
ZTFJ1110+7445 -3.716747363 514.512634
ZTFJ1758+7642 -3.753858604 624.173645
ZTFJ0238+0933 -3.771661718 921.621948
